department,m class 1,m class 2,m class 3,m class 4
MAKANAN,COKELAT DAN PERMEN,COKELAT,,
,,PERMEN,,
,,JELLY,,
,,PERMEN KARET,,
,,SEPATU WANITA TANPA HAK,,
MINUMAN,SUSU,SUSU CAIR,,
,,SUSU BUBUK,,
,,SUSU KENTAL MANIS,,
,,SUSU EVAPORASI,,
,,SUSU KESEHATAN DAN DIET,,
,,SUSU IBU HAMIL,,
RUMAH TANGGA,JAS HUJAN,,,
,HANDUK,,,
,PEMBASMI KUMAN,PENGHARUM RUANGAN,,
,,LOTION ANTI SERANGGA,,
,,PEMBASMI SERANGGA,,
,,KAMPER DAN KAPUR BARUS,,
